The results presented in the following table A are from the article entitled "Nuclear landscape in a mapped collective Hamiltonian from covariant density functional theory", published by Y. L. Yang, Y. K. Wang, P. W. Zhao, and Z. P. Li in Physical Review C.

Table A: The ground-state properties of nuclei calculated by the triaxial relativistic Hartree-Bogoliubov (RHB) theory using the density functional PC-PK1 with the dynamical correlation energies being considered by a microscopically mapped five-dimensional collective Hamiltonian. The hash symbols “####” indicate that the related separation energies cannot be derived from this database.  
                               																	
The explanation of entries in Table A are listed below:																	
Elt.		Element symbol															
Z		Proton number															
N		Neutron number															
beta		Quadrupole deformation															
gamma		Triaxial deformation (degree)															
B_RHB		Binding energy without dynamical correlation energies (MeV)															
B_5DCH		Binding energy with dynamical correlation energies (MeV)															
E_corr		Dynamical correlation energies (MeV)															
S_2n		Two-neutron separation energies with dynamical correlation energies (MeV)															
S_2p		Two-proton separation energies with dynamical correlation energies (MeV)															
lamb_n		Neutron Fermi surface (MeV)															
lamb_p		Proton Fermi surface (MeV)															
R_m		Matter root-mean-square radius (fm)															
R_n		Neutron root-mean-square radius (fm)															
R_p		Proton root-mean-square radius (fm)															
R_c		Charge radius (fm)

References
----------
[1] Y. L. Yang, Y. K. Wang, P. W. Zhao, and Z. P. Li, Physical Review C 104, 054312 (2021)	
[2] Y. L. Yang, P. W. Zhao, and Z. P. Li, Physical Review C 107, 024308 (2023)			

PS: The following results can be copied to Excel or text files. We are going to provide a Fortran format in the future.																				
	20	46	0.00 	0	473.38 	473.38 	0.00 	1.31 	46.89 	-0.68 	-22.45 	4.169 	4.376 	3.649 	3.736 		
	20	48	0.00 	0	474.53 	474.53 	0.00 	1.15 	####	-0.59 	-23.21 	4.238 	4.454 	3.668 	3.754 		
	20	50	0.00 	0	475.55 	476.11 	0.56 	1.58 	####	-0.52 	-23.89 	4.306 	4.530 	3.685 	3.771 		
	20	52	0.00 	0	476.45 	476.65 	0.20 	0.54 	####	-0.45 	-24.51 	4.373 	4.606 	3.701 	3.787 		
	20	54	0.00 	0	477.21 	####	####	####	####	-0.36 	-25.09 	4.439 	4.679 	3.716 	3.802 		
	20	56	0.00 	0	477.77 	####	####	####	####	-0.24 	-25.61 	4.505 	4.751 	3.731 	3.816 		
	20	58	0.00 	0	478.08 	####	####	####	####	-0.08 	-26.13 	4.570 	4.821 	3.745 	3.829 		
Ti	22	18	0.00 	0	314.33 	316.47 	2.14 	####	3.30 	-17.42 	-0.08 	3.394 	3.280 	3.485 	3.576 		
	22	20	0.00 	0	348.17 	348.17 	0.00 	31.70 	5.41 	-14.36 	-2.10 	3.421 	3.354 	3.481 	3.571 		
	22	22	0.08 	0	372.27 	374.94 	2.67 	26.77 	12.07 	-11.83 	-4.18 	3.454 	3.432 	3.476 	3.567 		
	22	24	0.24 	0	396.03 	399.11 	3.08 	24.17 	16.99 	-11.17 	-7.52 	3.510 	3.523 	3.496 	3.586 		
	22	26	0.17 	0	416.85 	419.79 	2.94 	20.68 	20.30 	-9.85 	-8.78 	3.529 	3.569 	3.481 	3.572 		
	22	28	0.00 	0	436.31 	438.62 	2.31 	18.83 	23.41 	-8.43 	-9.79 	3.542 	3.603 	3.463 	3.555 		
	22	30	0.00 	0	450.04 	452.56 	2.52 	13.94 	25.53 	-6.73 	-10.78 	3.618 	3.709 	3.490 	3.580 		
	22	32	0.00 	0	462.49 	464.90 	2.41 	12.34 	27.46 	-6.02 	-11.83 	3.689 	3.804 	3.515 	3.605 		
	22	34	0.05 	0	473.68 	475.94 	2.26 	11.04 	29.66 	-5.50 	-13.09 	3.763 	3.895 	3.550 	3.639 		
	22	36	0.00 	0	484.11 	485.83 	1.72 	9.89 	31.52 	-5.16 	-14.21 	3.831 	3.975 	3.583 	3.671 		
	22	38	0.00 	0	493.98 	494.65 	0.67 	8.82 	32.89 	-4.81 	-15.39 	3.896 	4.049 	3.617 	3.705 		
	22	40	0.00 	0	503.06 	503.06 	0.00 	8.41 	34.56 	-3.39 	-16.56 	3.959 	4.117 	3.652 	3.739 		
	22	42	0.00 	0	507.35 	508.69 	1.34 	5.63 	38.18 	-2.05 	-17.72 	4.016 	4.183 	3.675 	3.761 		
	22	44	0.19 	0	511.48 	513.85 	2.37 	5.16 	41.78 	-2.19 	-19.61 	4.095 	4.272 	3.715 	3.800 		
	22	46	0.22 	0	515.21 	517.55 	2.34 	3.70 	44.17 	-1.71 	-20.80 	4.162 	4.349 	3.741 	3.826 		
	22	48	0.24 	0	518.11 	520.52 	2.41 	2.97 	45.99 	-1.35 	-21.66 	4.229 	4.426 	3.761 	3.845 		
	22	50	0.23 	0	520.37 	522.89 	2.52 	2.37 	46.78 	-1.08 	-22.23 	4.290 	4.498 	3.777 	3.861 		
	22	52	0.20 	0	522.19 	524.71 	2.52 	1.82 	48.06 	-0.91 	-22.59 	4.349 	4.566 	3.788 	3.872 		
	22	54	0.14 	0	523.78 	526.20 	2.42 	1.49 	####	-0.83 	-22.83 	4.407 	4.633 	3.797 	3.880 		
	22	56	0.08 	60	525.26 	527.21 	1.95 	1.01 	####	-0.75 	-23.04 	4.467 	4.702 	3.803 	3.886 		
	22	58	0.00 	0	526.56 	528.02 	1.46 	0.81 	####	-0.60 	-23.40 	4.532 	4.777 	3.814 	3.897 		
	22	60	0.00 	0	527.46 	528.35 	0.89 	0.33 	####	-0.36 	-23.82 	4.599 	4.851 	3.828 	3.911 		
	22	62	0.00 	0	527.82 	####	####	####	####	-0.06 	-24.25 	4.663 	4.919 	3.848 	3.930 		
Cr	24	20	0.00 	0	351.01 	351.01 	0.00 	####	2.84 	-16.31 	-0.87 	3.475 	3.365 	3.565 	3.654 		
	24	22	0.24 	0	380.03 	383.09 	3.06 	32.08 	8.15 	-15.13 	-2.92 	3.522 	3.460 	3.578 	3.667 		
	24	24	0.31 	0	409.80 	412.11 	2.31 	29.02 	13.00 	-13.31 	-5.05 	3.554 	3.532 	3.576 	3.665 		
	24	26	0.27 	0	433.53 	436.43 	2.90 	24.32 	16.64 	-10.91 	-7.21 	3.567 	3.575 	3.559 	3.647 		
	24	28	0.00 	0	454.61 	457.57 	2.96 	21.14 	18.95 	-9.89 	-8.43 	3.559 	3.592 	3.521 	3.611 		
	24	30	0.23 	0	471.52 	474.52 	3.00 	16.95 	21.96 	-8.19 	-10.02 	3.660 	3.719 	3.585 	3.673 		
	24	32	0.22 	0	486.18 	489.46 	3.28 	14.94 	24.56 	-7.13 	-11.23 	3.728 	3.809 	3.616 	3.703 		
	24	34	0.19 	0	499.55 	502.74 	3.19 	13.28 	26.80 	-6.50 	-12.31 	3.786 	3.886 	3.638 	3.725 		
	24	36	0.13 	0	511.81 	514.90 	3.09 	12.16 	29.07 	-6.07 	-13.25 	3.840 	3.956 	3.658 	3.744 		
	24	38	0.00 	0	523.65 	525.34 	1.69 	10.44 	30.69 	-5.99 	-14.18 	3.892 	4.021 	3.678 	3.764 		
	24	40	0.00 	0	535.05 	535.05 	0.00 	9.71 	31.99 	-4.59 	-15.32 	3.951 	4.089 	3.709 	3.795 		
	24	42	0.00 	0	541.79 	544.53 	2.74 	9.48 	35.84 	-3.22 	-16.56 	4.002 	4.148 	3.731 	3.816 		
	24	44	0.24 	0	549.59 	552.16 	2.57 	7.63 	38.31 	-3.64 	-17.84 	4.085 	4.240 	3.783 	3.867 		
	24	46	0.27 	0	555.80 	558.14 	2.34 	5.98 	40.59 	-2.79 	-19.01 	4.146 	4.312 	3.809 	3.892 		
	24	48	0.31 	0	560.69 	562.85 	2.16 	4.71 	42.33 	-2.17 	-19.98 	4.216 	4.395 	3.834 	3.916 		
